fecha	valor
7/1965	969.5
6/1965	936.5
5/1965	898.3
4/1965	908.7
3/1965	901.7
2/1965	880.9
1/1965	887.8
12/1964	867.0
11/1964	865.2
10/1964	851.3
9/1964	847.9
8/1964	823.5
7/1964	849.6
6/1964	811.4
5/1964	832.2
4/1964	795.7
3/1964	780.1
2/1964	806.2
1/1964	787.1
